"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"29","Missouri","29001","Adair","2016","17.194%","",
"29","Missouri","29003","Andrew","2016","22.094%","",
"29","Missouri","29005","Atchison","2016","17.718%","",
"29","Missouri","29007","Audrain","2016","23.316%","",
"29","Missouri","29009","Barry","2016","11.443%","",
"29","Missouri","29011","Barton","2016","14.620%","",
"29","Missouri","29013","Bates","2016","18.136%","",
"29","Missouri","29015","Benton","2016","13.034%","",
"29","Missouri","29017","Bollinger","2016","28.202%","",
"29","Missouri","29019","Boone","2016","19.859%","",
"29","Missouri","29021","Buchanan","2016","21.978%","",
"29","Missouri","29023","Butler","2016","25.327%","",
"29","Missouri","29025","Caldwell","2016","25.894%","",
"29","Missouri","29027","Callaway","2016","18.271%","",
"29","Missouri","29029","Camden","2016","13.738%","",
"29","Missouri","29031","Cape Girardeau","2016","15.249%","",
"29","Missouri","29033","Carroll","2016","28.149%","",
"29","Missouri","29035","Carter","2016","23.261%","",
"29","Missouri","29037","Cass","2016","13.168%","",
"29","Missouri","29039","Cedar","2016","10.609%","",
"29","Missouri","29041","Chariton","2016","22.423%","",
"29","Missouri","29043","Christian","2016","15.339%","",
"29","Missouri","29045","Clark","2016","23.414%","",
"29","Missouri","29047","Clay","2016","15.572%","",
"29","Missouri","29049","Clinton","2016","16.959%","",
"29","Missouri","29051","Cole","2016","16.408%","",
"29","Missouri","29053","Cooper","2016","18.372%","",
"29","Missouri","29055","Crawford","2016","20.672%","",
"29","Missouri","29057","Dade","2016","21.397%","",
"29","Missouri","29059","Dallas","2016","14.523%","",
"29","Missouri","29061","Daviess","2016","19.692%","",
"29","Missouri","29063","DeKalb","2016","19.466%","",
"29","Missouri","29065","Dent","2016","21.878%","",
"29","Missouri","29067","Douglas","2016","28.995%","",
"29","Missouri","29069","Dunklin","2016","19.068%","",
"29","Missouri","29071","Franklin","2016","11.743%","",
"29","Missouri","29073","Gasconade","2016","19.144%","",
"29","Missouri","29075","Gentry","2016","22.569%","",
"29","Missouri","29077","Greene","2016","15.454%","",
"29","Missouri","29079","Grundy","2016","21.281%","",
"29","Missouri","29081","Harrison","2016","16.796%","",
"29","Missouri","29083","Henry","2016","17.279%","",
"29","Missouri","29085","Hickory","2016","21.294%","",
"29","Missouri","29087","Holt","2016","26.056%","",
"29","Missouri","29089","Howard","2016","24.581%","",
"29","Missouri","29091","Howell","2016","11.336%","",
"29","Missouri","29093","Iron","2016","48.601%","",
"29","Missouri","29095","Jackson","2016","21.385%","",
"29","Missouri","29097","Jasper","2016","22.098%","",
"29","Missouri","29099","Jefferson","2016","10.412%","",
"29","Missouri","29101","Johnson","2016","8.959%","",
"29","Missouri","29103","Knox","2016","22.069%","",
"29","Missouri","29105","Laclede","2016","17.472%","",
"29","Missouri","29107","Lafayette","2016","21.718%","",
"29","Missouri","29109","Lawrence","2016","14.043%","",
"29","Missouri","29111","Lewis","2016","21.664%","",
"29","Missouri","29113","Lincoln","2016","13.731%","",
"29","Missouri","29115","Linn","2016","16.404%","",
"29","Missouri","29117","Livingston","2016","25.746%","",
"29","Missouri","29121","Macon","2016","20.779%","",
"29","Missouri","29123","Madison","2016","36.610%","",
"29","Missouri","29125","Maries","2016","15.656%","",
"29","Missouri","29127","Marion","2016","26.294%","",
"29","Missouri","29119","McDonald","2016","15.372%","",
"29","Missouri","29129","Mercer","2016","6.400%","",
"29","Missouri","29131","Miller","2016","16.086%","",
"29","Missouri","29133","Mississippi","2016","43.507%","",
"29","Missouri","29135","Moniteau","2016","16.783%","",
"29","Missouri","29137","Monroe","2016","15.317%","",
"29","Missouri","29139","Montgomery","2016","31.030%","",
"29","Missouri","29141","Morgan","2016","12.095%","",
"29","Missouri","29143","New Madrid","2016","30.066%","",
"29","Missouri","29145","Newton","2016","21.138%","",
"29","Missouri","29147","Nodaway","2016","25.856%","",
"29","Missouri","29149","Oregon","2016","26.165%","",
"29","Missouri","29151","Osage","2016","19.754%","",
"29","Missouri","29153","Ozark","2016","20.842%","",
"29","Missouri","29155","Pemiscot","2016","10.523%","",
"29","Missouri","29157","Perry","2016","9.933%","",
"29","Missouri","29159","Pettis","2016","18.959%","",
"29","Missouri","29161","Phelps","2016","20.321%","",
"29","Missouri","29163","Pike","2016","18.087%","",
"29","Missouri","29165","Platte","2016","13.603%","",
"29","Missouri","29167","Polk","2016","18.891%","",
"29","Missouri","29169","Pulaski","2016","7.931%","",
"29","Missouri","29171","Putnam","2016","16.571%","",
"29","Missouri","29173","Ralls","2016","22.645%","",
"29","Missouri","29175","Randolph","2016","21.871%","",
"29","Missouri","29177","Ray","2016","24.289%","",
"29","Missouri","29179","Reynolds","2016","21.053%","",
"29","Missouri","29181","Ripley","2016","16.126%","",
"29","Missouri","29195","Saline","2016","23.853%","",
"29","Missouri","29197","Schuyler","2016","20.823%","",
"29","Missouri","29199","Scotland","2016","5.198%","",
"29","Missouri","29201","Scott","2016","27.866%","",
"29","Missouri","29203","Shannon","2016","7.238%","",
"29","Missouri","29205","Shelby","2016","34.086%","",
"29","Missouri","29183","St. Charles","2016","8.276%","",
"29","Missouri","29185","St. Clair","2016","8.007%","",
"29","Missouri","29187","St. Francois","2016","18.061%","",
"29","Missouri","29189","St. Louis","2016","22.570%","",
"29","Missouri","29510","St. Louis City","2016","48.197%","",
"29","Missouri","29186","Ste. Genevieve","2016","18.111%","",
"29","Missouri","29207","Stoddard","2016","24.531%","",
"29","Missouri","29209","Stone","2016","13.403%","",
"29","Missouri","29211","Sullivan","2016","45.022%","",
"29","Missouri","29213","Taney","2016","9.488%","",
"29","Missouri","29215","Texas","2016","10.617%","",
"29","Missouri","29217","Vernon","2016","12.957%","",
"29","Missouri","29219","Warren","2016","15.934%","",
"29","Missouri","29221","Washington","2016","13.433%","",
"29","Missouri","29223","Wayne","2016","17.585%","",
"29","Missouri","29225","Webster","2016","11.736%","",
"29","Missouri","29227","Worth","2016","33.333%","",
"29","Missouri","29229","Wright","2016","21.662%","",
"34","New Jersey","34001","Atlantic","2016","19.703%","",
"34","New Jersey","34003","Bergen","2016","22.863%","",
"34","New Jersey","34005","Burlington","2016","15.000%","",
"34","New Jersey","34007","Camden","2016","14.811%","",
"34","New Jersey","34009","Cape May","2016","16.499%","",
"34","New Jersey","34011","Cumberland","2016","22.460%","",
"34","New Jersey","34013","Essex","2016","40.496%","",
"34","New Jersey","34015","Gloucester","2016","12.018%","",
"34","New Jersey","34017","Hudson","2016","33.221%","",
"34","New Jersey","34019","Hunterdon","2016","17.779%","",
"34","New Jersey","34021","Mercer","2016","24.110%","",
"34","New Jersey","34023","Middlesex","2016","22.689%","",
"34","New Jersey","34025","Monmouth","2016","16.747%","",
"34","New Jersey","34027","Morris","2016","17.026%","",
"34","New Jersey","34029","Ocean","2016","25.835%","",
"34","New Jersey","34031","Passaic","2016","33.736%","",
"34","New Jersey","34033","Salem","2016","19.075%","",
"34","New Jersey","34035","Somerset","2016","18.103%","",
"34","New Jersey","34037","Sussex","2016","12.162%","",
"34","New Jersey","34039","Union","2016","32.887%","",
"34","New Jersey","34041","Warren","2016","14.619%","",
"35","New Mexico","35001","Bernalillo","2016","5.065%","",
"35","New Mexico","35003","Catron","2016","1.587%","",
"35","New Mexico","35005","Chaves","2016","11.626%","",
"35","New Mexico","35006","Cibola","2016","10.499%","",
"35","New Mexico","35007","Colfax","2016","3.571%","",
"35","New Mexico","35009","Curry","2016","2.901%","",
"35","New Mexico","35011","De Baca","2016","14.423%","",
"35","New Mexico","35013","Dona Ana","2016","3.147%","",
"35","New Mexico","35015","Eddy","2016","13.227%","",
"35","New Mexico","35017","Grant","2016","1.616%","",
"35","New Mexico","35019","Guadalupe","2016","8.302%","",
"35","New Mexico","35021","Harding","2016","2.703%","",
"35","New Mexico","35023","Hidalgo","2016","2.885%","",
"35","New Mexico","35025","Lea","2016","2.074%","",
"35","New Mexico","35027","Lincoln","2016","12.407%","",
"35","New Mexico","35028","Los Alamos","2016","25.302%","",
"35","New Mexico","35029","Luna","2016","8.265%","",
"35","New Mexico","35031","McKinley","2016","14.453%","",
"35","New Mexico","35033","Mora","2016","3.846%","",
"35","New Mexico","35035","Otero","2016","4.422%","",
"35","New Mexico","35037","Quay","2016","8.127%","",
"35","New Mexico","35039","Rio Arriba","2016","12.719%","",
"35","New Mexico","35041","Roosevelt","2016","6.965%","",
"35","New Mexico","35045","San Juan","2016","10.561%","",
"35","New Mexico","35047","San Miguel","2016","1.758%","",
"35","New Mexico","35043","Sandoval","2016","5.793%","",
"35","New Mexico","35049","Santa Fe","2016","8.484%","",
"35","New Mexico","35051","Sierra","2016","1.318%","",
"35","New Mexico","35053","Socorro","2016","9.291%","",
"35","New Mexico","35055","Taos","2016","4.240%","",
"35","New Mexico","35057","Torrance","2016","7.773%","",
"35","New Mexico","35059","Union","2016","2.429%","",
"35","New Mexico","35061","Valencia","2016","6.582%","",
"45","South Carolina","45001","Abbeville","2016","11.118%","",
"45","South Carolina","45003","Aiken","2016","5.470%","",
"45","South Carolina","45005","Allendale","2016","13.483%","",
"45","South Carolina","45007","Anderson","2016","9.677%","",
"45","South Carolina","45009","Bamberg","2016","11.870%","",
"45","South Carolina","45011","Barnwell","2016","4.394%","",
"45","South Carolina","45013","Beaufort","2016","5.057%","",
"45","South Carolina","45015","Berkeley","2016","7.646%","",
"45","South Carolina","45017","Calhoun","2016","18.907%","",
"45","South Carolina","45019","Charleston","2016","6.014%","",
"45","South Carolina","45021","Cherokee","2016","10.589%","",
"45","South Carolina","45023","Chester","2016","10.472%","",
"45","South Carolina","45025","Chesterfield","2016","6.482%","",
"45","South Carolina","45027","Clarendon","2016","20.827%","",
"45","South Carolina","45029","Colleton","2016","9.652%","",
"45","South Carolina","45031","Darlington","2016","5.001%","",
"45","South Carolina","45033","Dillon","2016","7.805%","",
"45","South Carolina","45035","Dorchester","2016","9.638%","",
"45","South Carolina","45037","Edgefield","2016","9.827%","",
"45","South Carolina","45039","Fairfield","2016","13.895%","",
"45","South Carolina","45041","Florence","2016","7.510%","",
"45","South Carolina","45043","Georgetown","2016","3.009%","",
"45","South Carolina","45045","Greenville","2016","9.665%","",
"45","South Carolina","45047","Greenwood","2016","11.994%","",
"45","South Carolina","45049","Hampton","2016","13.952%","",
"45","South Carolina","45051","Horry","2016","7.069%","",
"45","South Carolina","45053","Jasper","2016","9.489%","",
"45","South Carolina","45055","Kershaw","2016","5.024%","",
"45","South Carolina","45057","Lancaster","2016","7.022%","",
"45","South Carolina","45059","Laurens","2016","11.211%","",
"45","South Carolina","45061","Lee","2016","5.899%","",
"45","South Carolina","45063","Lexington","2016","12.753%","",
"45","South Carolina","45067","Marion","2016","13.752%","",
"45","South Carolina","45069","Marlboro","2016","16.986%","",
"45","South Carolina","45065","McCormick","2016","17.452%","",
"45","South Carolina","45071","Newberry","2016","18.132%","",
"45","South Carolina","45073","Oconee","2016","4.027%","",
"45","South Carolina","45075","Orangeburg","2016","21.557%","",
"45","South Carolina","45077","Pickens","2016","14.056%","",
"45","South Carolina","45079","Richland","2016","12.700%","",
"45","South Carolina","45081","Saluda","2016","15.013%","",
"45","South Carolina","45083","Spartanburg","2016","9.308%","",
"45","South Carolina","45085","Sumter","2016","4.195%","",
"45","South Carolina","45087","Union","2016","22.317%","",
"45","South Carolina","45089","Williamsburg","2016","14.693%","",
"45","South Carolina","45091","York","2016","9.776%","",
"49","Utah","49001","Beaver","2016","1.456%","",
"49","Utah","49003","Box Elder","2016","0.961%","",
"49","Utah","49005","Cache","2016","4.404%","",
"49","Utah","49007","Carbon","2016","4.243%","",
"49","Utah","49009","Daggett","2016","No Events","",
"49","Utah","49011","Davis","2016","0.967%","",
"49","Utah","49013","Duchesne","2016","0.040%","",
"49","Utah","49015","Emery","2016","1.615%","",
"49","Utah","49017","Garfield","2016","0.282%","",
"49","Utah","49019","Grand","2016","2.483%","",
"49","Utah","49021","Iron","2016","0.792%","",
"49","Utah","49023","Juab","2016","2.131%","",
"49","Utah","49025","Kane","2016","0.403%","",
"49","Utah","49027","Millard","2016","2.019%","",
"49","Utah","49029","Morgan","2016","0.697%","",
"49","Utah","49031","Piute","2016","3.488%","",
"49","Utah","49033","Rich","2016","2.913%","",
"49","Utah","49035","Salt Lake","2016","2.771%","",
"49","Utah","49037","San Juan","2016","4.899%","",
"49","Utah","49039","Sanpete","2016","2.614%","",
"49","Utah","49041","Sevier","2016","3.229%","",
"49","Utah","49043","Summit","2016","0.143%","",
"49","Utah","49045","Tooele","2016","0.337%","",
"49","Utah","49047","Uintah","2016","1.068%","",
"49","Utah","49049","Utah","2016","0.996%","",
"49","Utah","49051","Wasatch","2016","0.376%","",
"49","Utah","49053","Washington","2016","0.358%","",
"49","Utah","49055","Wayne","2016","0.498%","",
"49","Utah","49057","Weber","2016","2.592%","",
"54","West Virginia","54001","Barbour","2016","20.096%","",
"54","West Virginia","54003","Berkeley","2016","8.012%","",
"54","West Virginia","54005","Boone","2016","7.305%","",
"54","West Virginia","54007","Braxton","2016","23.069%","",
"54","West Virginia","54009","Brooke","2016","5.521%","",
"54","West Virginia","54011","Cabell","2016","13.489%","",
"54","West Virginia","54013","Calhoun","2016","21.333%","",
"54","West Virginia","54015","Clay","2016","18.482%","",
"54","West Virginia","54017","Doddridge","2016","18.225%","",
"54","West Virginia","54019","Fayette","2016","19.061%","",
"54","West Virginia","54021","Gilmer","2016","21.558%","",
"54","West Virginia","54023","Grant","2016","24.162%","",
"54","West Virginia","54025","Greenbrier","2016","33.027%","",
"54","West Virginia","54027","Hampshire","2016","7.698%","",
"54","West Virginia","54029","Hancock","2016","7.701%","",
"54","West Virginia","54031","Hardy","2016","18.618%","",
"54","West Virginia","54033","Harrison","2016","18.616%","",
"54","West Virginia","54035","Jackson","2016","14.616%","",
"54","West Virginia","54037","Jefferson","2016","6.599%","",
"54","West Virginia","54039","Kanawha","2016","12.987%","",
"54","West Virginia","54041","Lewis","2016","25.754%","",
"54","West Virginia","54043","Lincoln","2016","11.583%","",
"54","West Virginia","54045","Logan","2016","3.652%","",
"54","West Virginia","54049","Marion","2016","20.736%","",
"54","West Virginia","54051","Marshall","2016","7.356%","",
"54","West Virginia","54053","Mason","2016","6.635%","",
"54","West Virginia","54047","McDowell","2016","11.809%","",
"54","West Virginia","54055","Mercer","2016","13.908%","",
"54","West Virginia","54057","Mineral","2016","25.714%","",
"54","West Virginia","54059","Mingo","2016","3.032%","",
"54","West Virginia","54061","Monongalia","2016","15.550%","",
"54","West Virginia","54063","Monroe","2016","21.231%","",
"54","West Virginia","54065","Morgan","2016","17.339%","",
"54","West Virginia","54067","Nicholas","2016","24.017%","",
"54","West Virginia","54069","Ohio","2016","6.867%","",
"54","West Virginia","54071","Pendleton","2016","10.667%","",
"54","West Virginia","54073","Pleasants","2016","18.912%","",
"54","West Virginia","54075","Pocahontas","2016","21.097%","",
"54","West Virginia","54077","Preston","2016","15.459%","",
"54","West Virginia","54079","Putnam","2016","9.624%","",
"54","West Virginia","54081","Raleigh","2016","16.572%","",
"54","West Virginia","54083","Randolph","2016","22.598%","",
"54","West Virginia","54085","Ritchie","2016","19.621%","",
"54","West Virginia","54087","Roane","2016","11.026%","",
"54","West Virginia","54089","Summers","2016","27.199%","",
"54","West Virginia","54091","Taylor","2016","23.501%","",
"54","West Virginia","54093","Tucker","2016","23.958%","",
"54","West Virginia","54095","Tyler","2016","12.656%","",
"54","West Virginia","54097","Upshur","2016","10.567%","",
"54","West Virginia","54099","Wayne","2016","17.873%","",
"54","West Virginia","54101","Webster","2016","21.631%","",
"54","West Virginia","54103","Wetzel","2016","10.222%","",
"54","West Virginia","54105","Wirt","2016","15.847%","",
"54","West Virginia","54107","Wood","2016","15.216%","",
"54","West Virginia","54109","Wyoming","2016","14.762%","",
